from,to,year,type,pps,effect
SR,FCK,2017,2,"1,8",5
SS,BSC,2022,2,"0,8",1
SS,FSVM,2017,2,"0,6",2
TD,H96,2018,2,"0,6",4
TD,B04,2018,2,"2,4",4
TF,HSV,2011,2,"1,4",4
TFr,SVD,2016,2,"0,8",4
TK,BSC,2021,2,"1,4",4
TK,VfB,2018,2,"2,6",6
TK,B04,2017,2,1,2
TK,H96,2013,2,"1,2",4
TL,VfLB,2022,2,"1,2",5
TR,S04,2022,2,"0,6",4
TS,H96,2015,2,0,2
TS,SGE,2014,2,"1,2",5
TSch,VfB,2013,2,"2,2",5
TT,FCB,2023,2,2,4
TT,BVB,2015,2,2,5
UR,F95,2020,2,"1,2",4
VIs,VfLW,2016,2,"0,8",4
VS,SVW,2014,2,"1,8",5
XA,B04,2022,2,"1,4",4
